AAPL	GLD	GOOG	$SPX	XOM
372.41	168.61	573.41	1172.53	69.43
362.14	174.58	549.01	1120.76	66.37
372.1	170.75	562.13	1172.64	69.83
375.38	169.97	563.77	1178.81	70.24
381.77	171.8	557.23	1204.49	72.47
378.85	173.92	539.0	1192.76	71.7
378.81	174.42	533.15	1193.89	72.35
364.49	177.72	504.88	1140.65	69.21
354.51	179.95	490.92	1123.53	68.09
354.92	184.59	498.17	1123.82	68.46
372.0	177.67	518.82	1162.35	71.86
374.57	171.65	523.29	1177.6	71.74
372.12	172.36	520.04	1159.27	70.02
381.94	177.47	526.86	1176.8	70.86
388.3	173.89	539.08	1210.08	72.31
388.32	179.1	540.7	1212.92	72.1
383.18	177.72	540.96	1218.89	72.21
379.4	177.87	532.5	1204.42	71.69
372.45	183.24	524.84	1173.97	70.38
378.12	182.9	522.18	1165.24	69.41
382.29	177.08	534.03	1198.62	71.85
382.5	181.81	534.96	1185.9	71.04
375.87	180.7	524.85	1154.23	69.27
378.32	176.67	530.12	1162.27	70.08
382.98	178.54	529.52	1172.87	69.9
387.64	177.21	532.07	1188.68	70.86
391.28	174.4	542.56	1209.11	72.2
398.79	176.03	546.68	1216.01	72.73
409.87	173.31	546.67	1204.09	71.9
411.68	175.78	546.63	1202.09	72.2
410.38	173.59	539.2	1166.76	70.21
400.1	169.05	520.66	1129.56	67.55
402.57	159.8	525.51	1136.43	67.62
401.45	157.58	531.89	1162.95	69.97
397.55	160.63	539.34	1175.38	71.13
395.31	156.22	528.84	1151.06	70.31
388.9	157.7	527.5	1160.4	72.07
379.69	158.06	515.04	1131.42	70.86
373.0	160.96	495.52	1099.23	69.41
370.91	157.64	501.9	1123.95	71.05
376.63	159.46	504.7	1144.03	72.14
375.76	160.49	514.71	1164.97	72.08
368.22	159.18	515.12	1155.46	71.76
387.15	163.27	537.17	1194.89	74.42
398.58	162.1	543.18	1195.54	74.41
400.47	163.26	548.5	1207.25	75.27
406.68	162.3	558.99	1203.66	74.5
420.2	163.4	591.68	1224.58	76.2
418.19	162.62	582.41	1200.86	75.58
420.43	161.84	590.51	1225.38	76.96
396.92	159.87	580.7	1209.88	76.51
393.62	157.77	583.67	1215.39	76.79
391.19	159.52	590.49	1238.25	78.17
404.04	161.02	596.42	1254.19	78.21
396.07	165.59	583.16	1229.05	77.5
398.89	167.4	586.31	1242.0	79.09
402.96	169.55	598.67	1284.59	79.88
403.22	169.62	600.14	1285.09	79.49
403.05	167.34	592.64	1253.3	76.18
394.81	167.38	578.65	1218.28	74.08
395.71	169.06	584.82	1237.9	75.48
401.35	171.72	597.5	1261.15	76.93
398.53	170.85	596.14	1253.23	76.6
398.02	174.98	608.33	1261.12	77.41
404.49	173.53	612.34	1275.92	78.27
393.59	172.07	600.95	1229.1	75.95
383.57	171.14	595.08	1239.7	77.23
382.98	173.96	608.35	1263.85	78.24
377.64	173.2	613.0	1251.78	77.49
387.17	173.36	616.56	1257.81	77.62
383.13	171.51	611.47	1236.91	76.79
375.8	167.1	600.87	1216.13	76.41
373.34	167.62	594.88	1215.65	76.45
367.43	163.5	580.94	1192.98	75.48
